294,95,617,271
232,205,441,328
248,140,464,295
257,201,431,272
340,217,409,243
257,134,538,286
395,220,429,260
321,308,471,372
141,118,462,281
235,201,517,360
342,230,395,248
291,229,445,293
314,229,388,280
247,250,471,367
275,228,382,262
315,216,382,258
298,174,432,273
252,178,386,236
264,124,516,292
313,309,387,358
296,163,505,256
163,308,341,391
308,236,374,272
368,98,437,127
265,203,330,240
330,202,381,226
160,260,361,340
501,378,628,442
358,223,464,279
251,121,477,256
345,146,368,167
451,148,451,148
188,191,383,317
243,245,430,368
330,157,448,243
240,183,700,481
262,159,430,274
327,211,453,290
149,196,635,386
279,150,492,280
314,182,454,256
245,223,380,300
311,244,456,332
358,247,449,299
284,169,520,266
248,168,407,254
240,134,524,305
255,200,274,214
207,199,523,344
400,154,673,339
481,347,611,401
296,159,466,271
309,296,309,297
309,297,532,396
201,186,413,300
290,64,383,115
152,51,676,399
227,213,400,317
209,324,386,422
